axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
27,2.0,8,0.38749999999999996,0.48081670351104394,0.2875,0.125,self-doubt,1,anger,4,0.0,0.275,0.0,0.1,0.2,0.025,0.0,0.1875
28,-2.0,8,0.275,0.21368457392672233,0.325,0.375,frustration,1,anger,4,0.0875,0.1625,0.0,0.0,0.0625,0.0625,0.0,0.0625
28,0.0,8,0.475,0.8326080068407429,0.27499999999999997,0.375,confusion,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
28,2.0,8,0.4125,0.9560255898123947,0.38749999999999996,0.5,frustration,2,anticipation,4,0.0875,0.3875,0.075,0.125,0.1875,0.0875,0.0,0.2875
29,-2.0,8,0.25,0.49862300589306574,0.1375,0.125,confusion,1,anger,2,0.0,0.25,0.0,0.0625,0.125,0.0625,0.0,0.1875
29,0.0,8,0.4375,0.7484815484438625,0.3,0.375,confusion,1,anticipation,5,0.0,0.4375,0.0,0.0875,0.1875,0.075,0.0,0.25
29,2.0,8,0.4625,0.7736063171616443,0.275,0.25,indecision,1,anticipation,5,0.0,0.2875,0.0,0.125,0.175,0.125,0.025,0.25
30,-2.0,8,0.4375,0.6007470542628771,0.4125,0.375,repetitive behavior,1,anticipation,6,0.0,0.4,0.0,0.0875,0.1875,0.0375,0.0,0.1875
30,0.0,8,0.475,0.8326080068407429,0.39999999999999997,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
30,2.0,8,0.3125,0.7137519011380937,0.30000000000000004,0.375,self-doubt,1,anticipation,5,0.0125,0.25,0.0,0.1,0.05,0.0625,0.0,0.21250000000000002
31,-2.0,8,0.5125,0.8976607861122616,0.44999999999999996,0.5,uncertainty,2,anticipation,6,0.0,0.38749999999999996,0.0,0.0875,0.1625,0.0,0.05,0.4125
31,0.0,8,0.475,0.8326080068407429,0.35,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
31,2.0,8,0.3125,0.6809300632146268,0.1625,0.125,frustration,1,anticipation,3,0.0625,0.2625,0.0,0.0,0.125,0.0375,0.0,0.25
32,-2.0,8,0.5,0.8128808576868043,0.425,0.375,anxiety about preparation,1,anticipation,6,0.0,0.375,0.0,0.0625,0.3125,0.0625,0.11249999999999999,0.2625
32,0.0,8,0.475,0.8326080068407429,0.375,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
32,2.0,8,0.4125,0.6848529593672092,0.325,0.25,enthusiasm,1,anger,4,0.0,0.2625,0.0,0.0,0.3875,0.0,0.025,0.3375
33,-2.0,8,0.4625,0.700722006776978,0.1875,0.0,repetitive reassurance,1,anticipation,3,0.0,0.275,0.0,0.0,0.4375,0.0,0.025,0.35
33,0.0,8,0.4375,0.8512995663599063,0.38749999999999996,0.5,indecision,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.1875,0.0625,0.0,0.35
33,2.0,8,0.425,0.9528030200468427,0.4625,0.75,self-doubt,1,anticipation,6,0.0375,0.375,0.05,0.1375,0.175,0.0625,0.037500000000000006,0.2875
34,-2.0,8,0.275,0.4060589643710154,0.2625,0.125,confusion,1,anger,4,0.0,0.175,0.0,0.0875,0.075,0.0625,0.0625,0.1125
34,0.0,8,0.475,0.8326080068407429,0.39999999999999997,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
34,2.0,8,0.4625,0.8980612987265252,0.4125,0.375,frustration,1,anticipation,6,0.0125,0.42500000000000004,0.0,0.1,0.30000000000000004,0.07500000000000001,0.0,0.25
35,-2.0,8,0.4125,0.9413329395730505,0.43749999999999994,0.5,indecision,1,anticipation,6,0.0,0.3625,0.0,0.15,0.175,0.1,0.0,0.2875
35,0.0,8,0.475,0.8749070815495509,0.44999999999999996,0.75,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.2875
35,2.0,8,0.5,0.8872598254405561,0.5375,0.5,curiosity,2,anticipation,7,0.0,0.3375,0.0625,0.0,0.225,0.0625,0.0625,0.4375
36,-2.0,8,0.375,0.6309505844299426,0.21250000000000002,0.0,contentment,1,anticipation,4,0.0,0.26249999999999996,0.0,0.0,0.1375,0.025,0.0,0.3125
36,0.0,8,0.475,0.9615504791160902,0.425,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.35
36,2.0,8,0.4625,0.798888675918296,0.26249999999999996,0.125,paranoid uncertainty,1,anticipation,3,0.0,0.375,0.0,0.175,0.21250000000000002,0.0,0.0375,0.2875
37,-2.0,8,0.4375,0.9818540630441848,0.275,0.25,confusion,1,anticipation,5,0.0,0.3875,0.0,0.0875,0.3125,0.05,0.025,0.375
