sweep,artifact,decomposer,k,seed,layer,category,target_norm,fit,lasso_alpha,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,disgust,3.974813461303711,lasso,0.001,0.42663370878756046,0.7914173603057861,3.0097665755798304,9.562295913696289,3.849727153778076,8
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,disgust,3.974813461303711,lasso,0.01,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,disgust,3.974813461303711,lasso,0.1,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,fear,3.9300339221954346,ols,,0.8389114288522838,0.9159210324287415,1.5773522023942368,47.61469268798828,15.672491073608398,16
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,fear,3.9300339221954346,nnls,,0.17922977507972881,0.4233554183101752,3.560468176654783,10.532670584792353,4.234759908062335,9
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,fear,3.9300339221954346,lasso,0.001,0.18174513652985602,0.6038174629211426,3.5550082219239347,4.6268815994262695,1.8519078493118286,9
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,fear,3.9300339221954346,lasso,0.01,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,fear,3.9300339221954346,lasso,0.1,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,joy,2.8518917560577393,ols,,0.7865618896839348,0.8868831396102905,1.3175557265539373,17.500476837158203,6.093272686004639,16
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,joy,2.8518917560577393,nnls,,0.5328165964141313,0.7299428393517365,1.9492911564768798,10.247214774134981,4.7401579294393335,8
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,joy,2.8518917560577393,lasso,0.001,0.5656763404205822,0.809771716594696,1.879488848735084,6.8155927658081055,3.145974636077881,9
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,joy,2.8518917560577393,lasso,0.01,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,joy,2.8518917560577393,lasso,0.1,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,sadness,4.420462131500244,ols,,0.8817047154070312,0.9389912486076355,1.5203773476863927,54.05910873413086,17.255325317382812,16
