cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b11,b13,2.0,-2.0,5,ironic amusement,0.010487275198101997,0.200301855802536,0.014660500921308994,0.04776734113693237,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,-2.0,6,enthusiasm / curiosity,-0.03923441469669342,0.27667236328125,-0.03847118467092514,0.041279226541519165,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,2.0,0,self-doubt / encouragement,0.027731100097298622,0.23075954616069794,0.02869647741317749,0.04447821527719498,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,1,frustration / despair,-0.04104498401284218,0.25295543670654297,0.055566124618053436,0.04994594305753708,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,2,uncertainty / indecision,0.003908951301127672,0.27757930755615234,-0.04668277129530907,0.040912676602602005,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,3,romantic idealism,-0.06799525022506714,0.13559722900390625,0.008030422031879425,0.05297365039587021,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,4,academic ambition / competitive determination,0.05966292321681976,0.10692857205867767,-0.10126399993896484,0.04842482879757881,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,5,ironic amusement,-0.0689360499382019,0.2540372908115387,0.034254446625709534,0.04776734113693237,0.46433696150779724,0.6208405494689941,0.3735758364200592
b11,b13,2.0,2.0,6,enthusiasm / curiosity,-0.06146327406167984,0.30061066150665283,0.012017188593745232,0.041279226541519165,0.46433696150779724,0.6208405494689941,0.3735758364200592
b8,b4,-2.0,-2.0,0,self-doubt / encouragement,0.06796300411224365,0.21629351377487183,0.019385606050491333,0.04447821527719498,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,-2.0,1,frustration / despair,0.10549794137477875,0.18749777972698212,0.10751830786466599,0.04994594305753708,0.47745200991630554,0.5534526705741882,0.34257975220680237
b8,b4,-2.0,-2.0,2,uncertainty / indecision,0.14120444655418396,0.2654613256454468,0.06645476818084717,0.040912676602602005,0.47745200991630554,0.5534526705741882,0.34257975220680237
