component,alpha_unit,n_tokens,rep_2,rep_3,rep_4,max_run,max_run_norm,compress_ratio,unique_token_ratio,toxicity_rate,toxicity_hits,non_ascii_ratio
42,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
42,2.0,34.5,0.06973190404089913,0.014607007575757572,0.00390625,1.0,0.030050591671117607,0.7138145894766564,0.7486960809553406,0.0,0.0,0.0012077294685990338
43,-2.0,35.125,0.09576120564023789,0.03294627288301891,0.0037878787878787845,1.125,0.03229389793714738,0.72793528069703,0.7048167727655352,0.0,0.0,0.004213483146067416
43,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
43,2.0,39.25,0.20730730143839898,0.13132830002725648,0.07178792569659442,1.0,0.025706948870304495,0.6239821696525601,0.5828092834460852,0.0,0.0,0.0006756756756756757
44,-2.0,34.375,0.15789376827152718,0.0731297373758941,0.038238916256157635,1.0,0.029810094080838987,0.6803308147458188,0.6355564084036601,0.0,0.0,0.003094059405940594
44,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
44,2.0,37.875,0.13688913813607814,0.06836099423173725,0.03513595766106527,1.0,0.026746456408434628,0.7121183888193146,0.6858096350383102,0.0,0.0,0.004581151832460733
45,-2.0,32.5,0.15211466908495147,0.09544784869101063,0.07945075757575756,1.0,0.036245778958996326,0.6751896259415955,0.7043803253562725,0.0,0.0,0.001336898395721925
45,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
45,2.0,39.125,0.1498386213459743,0.08127239379701644,0.04501547653159316,1.0,0.02590521355066183,0.6754085373340434,0.6429023532677073,0.0,0.0,0.0019035532994923859
46,-2.0,32.375,0.17303917561588686,0.10153552129446716,0.07942994505494504,0.875,0.024288176268635015,0.5982976596614156,0.5161865837945889,0.0,0.0,0.0025
46,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
46,2.0,38.875,0.21501701692972947,0.16678149086685673,0.15024436069957517,1.0,0.02600729212727582,0.6399839996461146,0.611138605357444,0.0,0.0,0.0018564356435643563
47,-2.0,30.375,0.12409569597069597,0.07503916783181865,0.04707834667512087,0.875,0.025604080015844723,0.6502482826789284,0.5914729401861755,0.0,0.0,0.000744047619047619
47,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
47,2.0,34.125,0.19100867248492026,0.12124137009070131,0.090244708994709,1.25,0.039691552686536374,0.656029281938108,0.6113192555518314,0.0,0.0,0.003923519009725906
48,-2.0,34.375,0.09970479870736693,0.049404408227937624,0.021122510750743506,1.125,0.032537814543542765,0.7375465961566594,0.6792889416429003,0.0,0.0,0.002245508982035928
48,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
48,2.0,33.25,0.13653786569613183,0.07516981183839178,0.04340690435766836,1.0,0.034900281339287804,0.6802667400743749,0.689434176644461,0.0,0.0,0.001893939393939394
49,-2.0,36.375,0.1405722475522253,0.06481617975520415,0.030109397055858036,1.0,0.028210462394470476,0.6841578706367241,0.6546469128480437,0.0,0.0,0.0018656716417910447
49,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
49,2.0,36.375,0.18727689583211554,0.1233769954164691,0.08064713064713067,1.0,0.02819217514941199,0.6758758097256707,0.6496939464044728,0.0,0.0,0.0016891891891891893
50,-2.0,38.75,0.23502912092422906,0.13842668729258234,0.10486052396511038,1.0,0.02655675235617096,0.6313453257079651,0.5816926774775613,0.0,0.0,0.0018564356435643563
50,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
50,2.0,32.5,0.23426597911892028,0.15045031596755734,0.12280825791855203,1.0,0.031590287688700175,0.620497440122759,0.5601424617355664,0.0,0.0,0.0037313432835820895
51,-2.0,35.0,0.21880162052859423,0.18171586784563787,0.16795838570032118,1.0,0.029502953000395453,0.6331149927436476,0.6323099676680239,0.0,0.0,0.0024752475247524753
51,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
51,2.0,35.875,0.15796042140330935,0.10639365351235872,0.07256944444444444,1.0,0.028435446929914298,0.6969412517642736,0.6606925879197072,0.0,0.0,0.001953125
52,-2.0,36.75,0.12475999173481471,0.08966346153846154,0.08092324805339265,1.125,0.031140481695314907,0.6746403892987167,0.6454378836653316,0.0,0.0,0.002027027027027027
52,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
52,2.0,37.25,0.1554617200425034,0.08560670184589263,0.04531560781560781,1.0,0.027178989804997868,0.6861299698793092,0.6470679186404993,0.0,0.0,0.003289473684210526
53,-2.0,38.0,0.13897480298816145,0.08070738564690177,0.04096279537456009,1.0,0.026609933081215537,0.6983073099314405,0.6774043549712314,0.0,0.0,0.0025
53,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
53,2.0,36.5,0.2204879124297458,0.1320320881911165,0.0822172619047619,1.0,0.02832372892964908,0.6357225084734303,0.5987921473251591,0.0,0.0,0.0012690355329949238
