decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,128,0,22,0.00451522134244442,56,0.16045073946317334,0.13343750000000001,0.25,0.0017344069201499224
ica,128,0,22,0.00451522134244442,57,0.16893972251125877,0.13374999999999998,0.5,0.00022045434161555022
ica,128,0,22,0.00451522134244442,58,0.1384002107141149,0.1340625,0.375,0.00022445167996920645
ica,128,0,22,0.00451522134244442,59,0.10655198250539843,0.12625,0.5,0.000536882784217596
ica,128,0,22,0.00451522134244442,60,0.12123074058411154,0.12437499999999999,0.375,0.001802146201953292
ica,128,0,22,0.00451522134244442,61,0.1321848822001317,0.12593749999999998,0.75,0.001824726234190166
ica,128,0,22,0.00451522134244442,62,0.13257418108088626,0.14125000000000001,0.375,0.0013634328497573733
ica,128,0,22,0.00451522134244442,63,0.14550262047617313,0.1296875,0.25,0.0005094963125884533
ica,128,0,22,0.00451522134244442,64,0.1537458326364014,0.1559375,1.0,0.00025159906363114715
ica,128,0,22,0.00451522134244442,65,0.12203810178535823,0.13187500000000002,0.625,0.0005263785715214908
ica,128,0,22,0.00451522134244442,66,0.13593703812004287,0.1565625,1.0,0.0064335172064602375
ica,128,0,22,0.00451522134244442,67,0.1280434258036971,0.135,0.375,0.0005410200101323426
ica,128,0,22,0.00451522134244442,68,0.12404763457952495,0.1321875,0.5,0.00019121670629829168
ica,128,0,22,0.00451522134244442,69,0.1534078010667148,0.1359375,0.375,0.00053188088349998
ica,128,0,22,0.00451522134244442,70,0.12284223534811645,0.1390625,0.25,0.0007354863337241113
ica,128,0,22,0.00451522134244442,71,0.10624359997585309,0.1303125,0.25,0.0013004171196371317
ica,128,0,22,0.00451522134244442,72,0.13271569435370134,0.1440625,0.375,0.0005652643740177155
ica,128,0,22,0.00451522134244442,73,0.10850791034858664,0.13125,0.375,0.0027249976992607117
ica,128,0,22,0.00451522134244442,74,0.13109249030311076,0.15437499999999998,0.375,0.0006643036031164229
ica,128,0,22,0.00451522134244442,75,0.17294417384887595,0.1540625,0.75,0.002077569719403982
ica,128,0,22,0.00451522134244442,76,0.13944169042238252,0.1396875,0.5,0.0001623306452529505
ica,128,0,22,0.00451522134244442,77,0.13982719775761243,0.134375,0.375,0.0013045258820056915
ica,128,0,22,0.00451522134244442,78,0.190996806128104,0.16875,0.625,4.02546429540962e-05
ica,128,0,22,0.00451522134244442,79,0.14085120869222623,0.1365625,0.25,0.0012553513515740633
ica,128,0,22,0.00451522134244442,80,0.12686941245765215,0.1203125,0.375,0.0004361267201602459
ica,128,0,22,0.00451522134244442,81,0.16417387413999718,0.166875,0.375,0.027728218585252762
ica,128,0,22,0.00451522134244442,82,0.13705559377989562,0.1265625,0.375,0.0008505343575961888
ica,128,0,22,0.00451522134244442,83,0.1440740234231921,0.12781250000000002,0.375,0.0005736422608606517
ica,128,0,22,0.00451522134244442,84,0.1397782875691136,0.1328125,0.25,0.0007228231406770647
ica,128,0,22,0.00451522134244442,85,0.1250132248022604,0.1303125,0.5,0.00044663684093393385
ica,128,0,22,0.00451522134244442,86,0.12395879808287047,0.13343750000000001,0.25,0.0012660326901823282
ica,128,0,22,0.00451522134244442,87,0.16809567703068184,0.14968750000000003,0.75,0.0018178891623392701
ica,128,0,22,0.00451522134244442,88,0.12645971429786407,0.12406249999999999,0.375,1.6945898096309975e-05
ica,128,0,22,0.00451522134244442,89,0.16922989949137435,0.1403125,0.375,0.0024284543469548225
ica,128,0,22,0.00451522134244442,90,0.16551400363609714,0.164375,0.75,0.005891516804695129
ica,128,0,22,0.00451522134244442,91,0.14441224420479193,0.16312500000000002,1.0,0.0028819816652685404
ica,128,0,22,0.00451522134244442,92,0.14608765767630816,0.1459375,0.375,0.00045589677756652236
ica,128,0,22,0.00451522134244442,93,0.11942967431789642,0.1325,0.5,0.0018465876346454024
ica,128,0,22,0.00451522134244442,94,0.12733079073556608,0.13656249999999998,1.0,0.0004228991165291518
ica,128,0,22,0.00451522134244442,95,0.12730099069842193,0.12375,0.375,0.00024546441272832453
ica,128,0,22,0.00451522134244442,96,0.16758823179379867,0.15218749999999998,0.625,0.0014486585278064013
ica,128,0,22,0.00451522134244442,97,0.15464868160155465,0.1325,0.875,0.001104833441786468
ica,128,0,22,0.00451522134244442,98,0.16630641462913953,0.1353125,0.625,0.002131848828867078
ica,128,0,22,0.00451522134244442,99,0.16458177477366176,0.15562499999999999,0.75,0.0014523155987262726
ica,128,0,22,0.00451522134244442,100,0.1431211592293793,0.1340625,0.5,0.0007665720768272877
ica,128,0,22,0.00451522134244442,101,0.13397256677011704,0.12875,1.0,0.0008039639797061682
ica,128,0,22,0.00451522134244442,102,0.13676125154051366,0.114375,0.5,0.0004942089435644448
ica,128,0,22,0.00451522134244442,103,0.11129025578328466,0.1340625,0.25,0.0006514960550703108
ica,128,0,22,0.00451522134244442,104,0.11370744413543932,0.12624999999999997,0.375,0.00042760866926983
ica,128,0,22,0.00451522134244442,105,0.12962568052750578,0.14375000000000002,0.25,0.00013787229545414448
ica,128,0,22,0.00451522134244442,106,0.12638226269503816,0.135625,0.25,0.00023777199385222048
ica,128,0,22,0.00451522134244442,107,0.1197329575943642,0.13374999999999998,0.5,0.00039840745739638805
ica,128,0,22,0.00451522134244442,108,0.16194494571385043,0.12875,0.375,0.00016840113676153123
ica,128,0,22,0.00451522134244442,109,0.14973837512789867,0.133125,0.5,0.0008813063031993806
ica,128,0,22,0.00451522134244442,110,0.1418194670047983,0.1325,0.375,0.000420795870013535
ica,128,0,22,0.00451522134244442,111,0.14363454981122148,0.1375,0.75,0.006231777369976044
ica,128,0,22,0.00451522134244442,112,0.15719256057756903,0.14781250000000004,1.0,0.00663813715800643
ica,128,0,22,0.00451522134244442,113,0.1388476343481595,0.1325,0.375,0.0004308024072088301
ica,128,0,22,0.00451522134244442,114,0.1369181631608134,0.140625,0.375,0.00173948984593153
ica,128,0,22,0.00451522134244442,115,0.1342646245996777,0.125,0.25,0.0008021943503990769
ica,128,0,22,0.00451522134244442,116,0.16070288124231213,0.14812499999999998,0.625,0.004390601068735123
ica,128,0,22,0.00451522134244442,117,0.15250682334978016,0.1284375,0.375,0.0023662832099944353
ica,128,0,22,0.00451522134244442,118,0.13611864377110283,0.13,0.375,0.0006998313474468887
ica,128,0,22,0.00451522134244442,119,0.12074425754878026,0.13499999999999998,0.375,0.0017179682618007064
ica,128,0,22,0.00451522134244442,120,0.1498362136022311,0.13874999999999998,0.375,0.0015867192996665835
ica,128,0,22,0.00451522134244442,121,0.13126117059287745,0.1425,0.375,0.0002214923151768744
ica,128,0,22,0.00451522134244442,122,0.14147968426797153,0.140625,0.25,0.000526673102285713
ica,128,0,22,0.00451522134244442,123,0.1375287066845603,0.1490625,0.875,0.00020097164087928832
ica,128,0,22,0.00451522134244442,124,0.13748481811091384,0.1271875,0.375,0.0007465007365681231
ica,128,0,22,0.00451522134244442,125,0.1510955738488664,0.12156249999999999,0.875,0.00043768793693743646
